strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,uav_velocity
local_execution,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,18.9583021706003,2.021833956587993,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
local_execution,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,14.047750738299888,1.5110449852340024,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
local_execution,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,12.235541658375912,1.3442891668324821,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
local_execution,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,20.546371829976035,2.1650725634004786,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
local_execution,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,10.466142541899947,1.2256771491620018,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
threshold_based,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,18.9583021706003,2.021833956587993,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
threshold_based,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,14.047750738299888,1.5110449852340024,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
threshold_based,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,12.235541658375912,1.3442891668324821,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,20.546371829976035,2.1650725634004786,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,10.466142541899947,1.2256771491620018,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,20
